Category;Date inscribed;ID;Image URL;Code ISO;Location;Region;Short Description;Site;States;;;;
Cultural;1981;162;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/fa1aa32445bd92a89a9374a0edbe42ac;fr;Department of Somme, Picardie Region;Europe and North America;Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculptures on the principal facade and in the south transept.;Amiens Cathedral;France;;;;
Cultural;1978;3;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/93d1832b222fc805f9e4a2e10e0476fa;de;State of North Rhine-Westphalia (Nordrhein-Westfalen);Europe and North America;Construction of this palatine chapel, with its octagonal basilica and cupola, began c. 790–800 under the Emperor Charlemagne. Originally inspired by the churches of the Eastern part of the Holy Roman Empire, it was splendidly enlarged in the Middle Ages.;Aachen Cathedral;Germany;;;;
Cultural;2010;1338;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/07b30c1a2c5563a33ef5a8ae6fcf122e;in;;Asia and the Pacific;The Jantar Mantar, in Jaipur, is an astronomical observation site built in the early 18th century. It includes a set of some 20 main fixed instruments. They are monumental examples in masonry of known instruments but which in many cases have specific characteristics of their own. Designed for the observation of astronomical positions with the naked eye, they embody several architectural and instrumental innovations. This is the most significant, most comprehensive, and the best preserved of India's historic observatories. It is an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period.;The Jantar Mantar, Jaipur;India;;;;
Cultural;2013;247;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/269de935fb076b88917f463c47bcb99d;in;;Asia and the Pacific;The serial site, situated in the state of Rajastahan, includes six majestic forts in Chittorgarh; Kumbhalgarh; Sawai Madhopur; Jhalawar; Jaipur, and Jaisalmer. The ecclectic architecture of the forts, some up to 20 kilometres in circumference, bears testimony to the power of the Rajput princely states that flourished in the region from the 8th to the 18th centuries. Enclosed within defensive walls are major urban centres, palaces, trading centres and other buildings including temples that often predate the fortifications within which developed an elaborate courtly culture that supported learning, music and the arts. Some of the urban centres enclosed in the fortifications have survived, as have many of the site's temples and other sacred buildings. The forts use the natural defenses offered by the landscape: hills, deserts, rivers, and dense forests. They also feature extensive water harvesting structures, largely still in use today.;Hill Forts of Rajasthan;India
Cultural;2018;1480;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/f15331bb4179b51abb154bddcf2bda30;in;;Asia and the Pacific;Having become a global trading centre, the city of Mumbai implemented an ambitious urban planning project in the second half of the 19th century. It led to the construction of ensembles of public buildings bordering the Oval Maidan open space, first in the Victorian Neo-Gothic style and then, in the early 20th century, in the Art Deco idiom. The Victorian ensemble includes Indian elements suited to the climate, including balconies and verandas. The Art Deco edifices, with their cinemas and residential buildings, blend Indian design with Art Deco imagery, creating a unique style that has been described as Indo-Deco. These two ensembles bear testimony to the phases of modernization that Mumbai has undergone in the course of the 19th and 20th centuries.;Victorian Gothic and Art Deco Ensembles of Mumbai;India;;;;
Cultural;2012;1398;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/0dcd5c20e1f15bcacdc403fa2cf9f9a2;ir;;Asia and the Pacific;The 53m high tomb built in ad 1006 for Qābus Ibn Voshmgir, Ziyarid ruler and literati, near the ruins of the ancient city of Jorjan in north-east Iran, bears testimony to the cultural exchange between Central Asian nomads and the ancient civilization of Iran. The tower is the only remaining evidence of Jorjan, a former centre of arts and science that was destroyed during the Mongols’ invasion in the 14th and 15th centuries. It is an outstanding and technologically innovative example of Islamic architecture that influenced sacral building in Iran, Anatolia and Central Asia. Built of unglazed fired bricks, the monument’s intricate geometric forms constitute a tapering cylinder with a diameter of 17–15.5 m, topped by a conical brick roof. It illustrates the development of mathematics and science in the Muslim world at the turn of the first millennium AD.;Gonbad-e Qābus;Iran (Islamic Republic of);;;;
Mixed;2016;1481;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e80c889d51ac079c1971806d5938b26c;iq;;Arab States;The Ahwar is made up of seven components: three archaeological sites and four wetland marsh areas in southern Iraq. The archaeological cities of Uruk and Ur and the Tell Eridu archaeological site form part of the remains of the Sumerian cities and settlements that developed in southern Mesopotamia between the 4th and the 3rd millennium BCE in the marshy delta of the Tigris and Euphrates rivers. The Ahwar of Southern Iraq – also known as the Iraqi Marshlands – are unique, as one of the world’s largest inland delta systems, in an extremely hot and arid environment.;The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities;Iraq;;;;
Cultural;1979;94;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/f4ad8509e019e87fe790b8679d4b4da9;it;Province of Brescia, Lombardy;Europe and North America;Valcamonica, situated in the Lombardy plain, has one of the world's greatest collections of prehistoric petroglyphs – more than 140,000 symbols and figures carved in the rock over a period of 8,000 years and depicting themes connected with agriculture, navigation, war and magic.;Rock Drawings in Valcamonica;Italy;;;;
Cultural;1996;789;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/1456b5e0ee5793cf3cf2ada188db0541;it;Province of Siena, Tuscany;Europe and North America;It was in this Tuscan town that Renaissance town-planning concepts were first put into practice after Pope Pius II decided, in 1459, to transform the look of his birthplace. He chose the architect Bernardo Rossellino, who applied the principles of his mentor, Leon Battista Alberti. This new vision of urban space was realized in the superb square known as Piazza Pio II and the buildings around it: the Piccolomini Palace, the Borgia Palace and the cathedral with its pure Renaissance exterior and an interior in the late Gothic style of south German churches.;Historic Centre of the City of Pienza;Italy;;;;
Cultural;2002;1024;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/7e0b1146ad4be45c5861863dcbe5a04c;it;Provinces of Catania, Ragusa, and Syracuse, Sicily;Europe and North America;The eight towns in south-eastern Sicily: Caltagirone, Militello Val di Catania, Catania, Modica, Noto, Palazzolo, Ragusa and Scicli, were all rebuilt after 1693 on or beside towns existing at the time of the earthquake which took place in that year. They represent a considerable collective undertaking, successfully carried out at a high level of architectural and artistic achievement. Keeping within the late Baroque style of the day, they also depict distinctive innovations in town planning and urban building.;Late Baroque Towns of the Val di Noto (South-Eastern Sicily);Italy;;;;
Cultural;2003;1068;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e9b386d6f84279ff816735548484292e;it;Regions of Lombardy and Piedmont;Europe and North America;The nine Sacri Monti (Sacred Mountains) of northern Italy are groups of chapels and other architectural features created in the late 16th and 17th centuries and dedicated to different aspects of the Christian faith. In addition to their symbolic spiritual meaning, they are of great beauty by virtue of the skill with which they have been integrated into the surrounding natural landscape of hills, forests and lakes. They also house much important artistic material in the form of wall paintings and statuary.;Sacri Monti of Piedmont and Lombardy;Italy;;;;
Cultural;2013;175;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/d211af03923e4577b07b9820e4b7abe2;it;;Europe and North America;Twelve villas and two gardens spread across the Tuscan landscape make up this site which bears testimony to the influence the Medici family exerted over modern European culture through its patronage of the arts. Built between the 15th and 17th centuries, they represent an innovative system of construction in harmony with nature and dedicated to leisure, the arts and knowledge. The villas embody an innovative form and function, a new type of princely residence that differed from both the farms owned by rich Florentines of the period and from the military might of baronial castles. The Medici villas form the first example of the connection between architecture, gardens, and the environment and became an enduring reference for princely residences throughout Italy and Europe. Their gardens and integration into the natural environment helped develop the appreciation of landscape characteristic Humanism and the Renaissance.;Medici Villas and Gardens in Tuscany;Italy;;;;
Cultural;1998;825;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/2a67f69670390ed3eb68e7c6330f68bb;it;Province of Udine, Friuli-Venezia Giulia Region;Europe and North America;Aquileia (in Friuli-Venezia Giulia), one of the largest and wealthiest cities of the Early Roman Empire, was destroyed by Attila in the mid-5th century. Most of it still lies unexcavated beneath the fields, and as such it constitutes the greatest archaeological reserve of its kind. The patriarchal basilica, an outstanding building with an exceptional mosaic pavement, played a key role in the evangelization of a large region of central Europe.;Archaeological Area and the Patriarchal Basilica of Aquileia;Italy;;;;
Cultural;2003;1103;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/adf23bef46709402dd42fb0bbfc8c83a;kz;South Kazakhstan Oblast, City of Turkestan;Asia and the Pacific;The Mausoleum of Khoja Ahmed Yasawi, in the town of Yasi, now Turkestan, was built at the time of Timur (Tamerlane), from 1389 to 1405. In this partly unfinished building, Persian master builders experimented with architectural and structural solutions later used in the construction of Samarkand, the capital of the Timurid Empire. Today, it is one of the largest and best-preserved constructions of the Timurid period.;Mausoleum of Khoja Ahmed Yasawi;Kazakhstan;;;;
Cultural;2018;1450;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/a4d7b1e670413947032f4b4c95dcf58b;ke;;Africa;Situated north-west of the town of Migori, in the Lake Victoria region, this dry-stone walled settlement was probably built in the 16th century CE. The Ohinga (i.e. settlement) seems to have served as a fort for communities and livestock, but also defined social entities and relationships linked to lineage. Thimlich Ohinga is the largest and best preserved of these traditional enclosures. It is an exceptional example of the tradition of massive dry-stone walled enclosures, typical of the first pastoral communities in the Lake Victoria Basin, which persisted from the 16th to the mid-20th century.;Thimlich Ohinga Archaeological Site;Kenya;;;;
Cultural;1995;479;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/bdd18681003767c68fc9668bee73f6d9;la;Province of Luang Prabang;Asia and the Pacific;Luang Prabang is an outstanding example of the fusion of traditional architecture and Lao urban structures with those built by the European colonial authorities in the 19th and 20th centuries. Its unique, remarkably well-preserved townscape illustrates a key stage in the blending of these two distinct cultural traditions.;Town of Luang Prabang;Lao People's Democratic Republic;;;;
Cultural;1984;294;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/21d429bf558fb492f7f9b4c00539a523;lb;City and District of Baalbek, Beqaa Governorate;Arab States;This Phoenician city, where a triad of deities was worshipped, was known as Heliopolis during the Hellenistic period. It retained its religious function during Roman times, when the sanctuary of the Heliopolitan Jupiter attracted thousands of pilgrims. Baalbek, with its colossal structures, is one of the finest examples of Imperial Roman architecture at its apogee.;Baalbek;Lebanon;;;;
Natural;2000;1012;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e3f3ab70ce264a435e53784d55d5e7a7;my;State of Sabah;Asia and the Pacific;Kinabalu Park, in the State of Sabah on the northern end of the island of Borneo, is dominated by Mount Kinabalu (4,095 m), the highest mountain between the Himalayas and New Guinea. It has a very wide range of habitats, from rich tropical lowland and hill rainforest to tropical mountain forest, sub-alpine forest and scrub on the higher elevations. It has been designated as a Centre of Plant Diversity for Southeast Asia and is exceptionally rich in species with examples of flora from the Himalayas, China, Australia, Malaysia, as well as pan-tropical flora.;Kinabalu Park;Malaysia;;;;
Cultural;1988;483;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/b29a56079febd4c8cf05bed5a10bbe00;mx;Etat de Yucatan, Municipalité de Tinum;Latin America and the Caribbean;This sacred site was one of the greatest Mayan centres of the Yucatán peninsula. Throughout its nearly 1,000-year history, different peoples have left their mark on the city. The Maya and Toltec vision of the world and the universe is revealed in their stone monuments and artistic works. The fusion of Mayan construction techniques with new elements from central Mexico make Chichen-Itza one of the most important examples of the Mayan-Toltec civilization in Yucatán. Several buildings have survived, such as the Warriors’ Temple, El Castillo and the circular observatory known as El Caracol.;Pre-Hispanic City of Chichen-Itza;Mexico;;;;
Cultural;2003;1079;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/cc04758599cd5099f12720ba136e4082;mx;State of Querétaro de Arteaga (Sierra Gorda region);Latin America and the Caribbean;The five Franciscan missions of Sierra Gorda were built during the last phase of the conversion to Christianity of the interior of Mexico in the mid-18th century and became an important reference for the continuation of the evangelization of California, Arizona and Texas. The richly decorated church façades are of special interest as they represent an example of the joint creative efforts of the missionaries and the Indios. The rural settlements that grew around the missions have retained their vernacular character.;Franciscan Missions in the Sierra Gorda of Querétaro;Mexico;;;;
Cultural;2004;1136;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/1e6e30c43614b7d81005cc76c9ceb544;mx;Mexico City;Latin America and the Caribbean;Built in 1948, the House and Studio of architect Luis Barragán in the suburbs of Mexico City represents an outstanding example of the architect’s creative work in the post-Second World War period. The concrete building, totalling 1,161 m2, consists of a ground floor and two upper storeys, as well as a small private garden. Barragán’s work integrated modern and traditional artistic and vernacular currents and elements into a new synthesis, which has been greatly influential, especially in the contemporary design of gardens, plazas and landscapes.;Luis Barragán House and Studio;Mexico;;;;
Cultural;2007;1250;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/d593e7beb7ec69f5246f87af0ef790ec;mx;Mexico City;Latin America and the Caribbean;The ensemble of buildings, sports facilities and open spaces of the Central University City Campus of the Universidad Nacional Autónoma de México (UNAM), was built from 1949 to 1952 by more than 60 architects, engineers and artists who were involved in the project. As a result, the campus constitutes a unique example of 20th-century modernism integrating urbanism, architecture, engineering, landscape design and fine arts with references to local traditions, especially to Mexico’s pre-Hispanic past. The ensemble embodies social and cultural values of universal significance and is one of the most significant icons of modernity in Latin America.;Central University City Campus of the Universidad Nacional Autónoma de México (UNAM);Mexico;;;;
Natural;2008;1290;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/c4de23c05de42a23978c0c4c948436a8;mx;;Latin America and the Caribbean;The 56,259 ha biosphere lies within rugged forested mountains about 100 km northwest of Mexico City. Every autumn, millions, perhaps a billion, butterflies from wide areas of North America return to the site and cluster on small areas of the forest reserve, colouring its trees orange and literally bending their branches under their collective weight. In the spring, these butterflies begin an 8 month migration that takes them all the way to Eastern Canada and back, during which time four successive generations are born and die. How they find their way back to their overwintering site remains a mystery.;Monarch Butterfly Biosphere Reserve;Mexico;;;;
Mixed;2018;1534;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/59e59c13e5309c937819868f1b6f56ef;mx;;Latin America and the Caribbean;Tehuacán-Cuicatlán Valley, part of the Mesoamerican region, is the arid or semi-arid zone with the richest biodiversity in all of North America. Consisting of three components, Zapotitlán-Cuicatlán, San Juan Raya and Purrón, it is one of the main centres of diversification for the cacti family, which is critically endangered worldwide. The valley harbours the densest forests of columnar cacti in the world, shaping a unique landscape that also includes agaves, yuccas and oaks. Archaeological remains demonstrate technological developments and the early domestication of crops. The valley presents an exceptional water management system of canals, wells, aqueducts and dams, the oldest in the continent, which has allowed for the emergence of agricultural settlements.;Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica;Mexico;;;;
Cultural;2015;1440;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/2537f9cfd278dc2931c8b0f354a656b9;mn;;Asia and the Pacific;The site is situated in the north-east of the country in the central part of the Khentii mountain chain where the vast Central Asian steppe meets the coniferous forests of the Siberian taiga. Burkhan Khaldun is associated with the worship of sacred mountains, rivers and ovoo-s (shamanic rock cairns), in which ceremonies have been shaped by a fusion of ancient shamanic and Buddhist practices. The site is also believed to be the place of Genghis Khan’s birth and burial. It testifies to his efforts to establish mountain worship as an important part of the unification of the Mongol people.;Great Burkhan Khaldun Mountain and its surrounding sacred landscape;Mongolia;;;;
Cultural;2014;1441;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/71ef63c0bf6f784483145fd9d1e00c0f;nl;;Europe and North America;Van Nellefabriek was designed and built in the 1920s on the banks of a canal in the Spaanse Polder industrial zone north-west of Rotterdam. The site is one of the icons of 20th-century industrial architecture, comprising a complex of factories, with façades consisting essentially of steel and glass, making large-scale use of the curtain wall principle. It was conceived as an ‘ideal factory’, open to the outside world, whose interior working spaces evolved according to need, and in which daylight was used to provide pleasant working conditions. It embodies the new kind of factory that became a symbol of the modernist and functionalist culture of the inter-war period and bears witness to the long commercial and industrial history of the Netherlands in the field of importation and processing of food products from tropical countries, and their industrial processing for marketing in Europe.;Van Nellefabriek;Netherlands;;;;
Natural;1990;551;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e60fe7c56c54c239049af246c93c794f;nz;Southwest of South Island;Asia and the Pacific;The landscape in this park, situated in south-west New Zealand, has been shaped by successive glaciations into fjords, rocky coasts, towering cliffs, lakes and waterfalls. Two-thirds of the park is covered with southern beech and podocarps, some of which are over 800 years old. The kea, the only alpine parrot in the world, lives in the park, as does the rare and endangered takahe, a large flightless bird.;Te Wahipounamu – South West New Zealand;New Zealand;;;;
Cultural;1980;55;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/e0051948d617d7a9b53c26c887de1a15;no;;Europe and North America;Røros Mining Town and the Circumference is linked to the copper mines, established in the 17th century and exploited for 333 years until 1977. The site comprises the Town and its industrial-rural cultural landscapes; Femundshytta, a smelter with its associated area; and the Winter Transport Route. Completely rebuilt after its destruction by Swedish troops in 1679, Røros contains about 2000 wooden one- and two-storey houses and a smelting house. Many of these buildings have preserved their blackened wooden façades, giving the town a medieval appearance. Surrounded by a buffer zone, coincident with the area of privileges (the Circumference) granted to the mining enterprise by the Danish-Norwegian Crown (1646), the property illustrates the establishment and flourishing of a lasting culture based on copper mining in a remote region with a harsh climate. ;Røros Mining Town and the Circumference;Norway;;
Cultural;1981;143;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/626fb33228588346d96e0c7b3674e8ee;pk;Province of Sind;Asia and the Pacific;The capital of three successive dynasties and later ruled by the Mughal emperors of Delhi, Thatta was constantly embellished from the 14th to the 18th century. The remains of the city and its necropolis provide a unique view of civilization in Sind.;Historical Monuments at Makli, Thatta;Pakistan;;;;
Cultural;1993;648;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/6787860d0556be85c92aa9c2dcad7c38;py;;Latin America and the Caribbean;In addition to their artistic interest, these missions are a reminder of the Jesuits' Christianization of the Río de la Plata basin in the 17th and 18th centuries, with the accompanying social and economic initiatives.;Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue;Paraguay;;;;
Cultural;1994;700;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/091144546e4a33a46d3e9e77ea57209a;pe;Libertadores / Wari Region;Latin America and the Caribbean;Located in the arid Peruvian coastal plain, some 400 km south of Lima, the geoglyphs of Nasca and the pampas of Jumana cover about 450 km2 . These lines, which were scratched on the surface of the ground between 500 B.C. and A.D. 500, are among archaeology's greatest enigmas because of their quantity, nature, size and continuity. The geoglyphs depict living creatures, stylized plants and imaginary beings, as well as geometric figures several kilometres long. They are believed to have had ritual astronomical functions.;Lines and Geoglyphs of Nasca and Palpa;Peru;;;;
Natural;1987;402;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/274bea8566ae9438be3e14ecaa65f2c7;pe;Dep. Madre de Dios y Cusco,  Provincias: Manu y Paucartambo;Latin America and the Caribbean;This huge 1.5 million-ha park has successive tiers of vegetation rising from 150 to 4,200 m above sea-level. The tropical forest in the lower tiers is home to an unrivalled variety of animal and plant species. Some 850 species of birds have been identified and rare species such as the giant otter and the giant armadillo also find refuge there. Jaguars are often sighted in the park.;Manú National Park;Peru;;;;
Cultural;1992;564;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/8f56f580e8ae112e03c7e62672a3372c;pl;City and County of Zamość, Lublin Voivodship (formerly Zamość Voivodship);Europe and North America;Zamosc was founded in the 16th century by the chancellor Jan Zamoysky on the trade route linking western and northern Europe with the Black Sea. Modelled on Italian theories of the 'ideal city' and built by the architect Bernando Morando, a native of Padua, Zamosc is a perfect example of a late-16th-century Renaissance town. It has retained its original layout and fortifications and a large number of buildings that combine Italian and central European architectural traditions.;Old City of Zamość;Poland;;;;
Cultural;2006;1165;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/96030f4365bf068b4c072360d82bb594;pl;Silesia Region, Lower Silesian Voivodship;Europe and North America;The Centennial Hall, a landmark in the history of reinforced concrete architecture, was erected in 1911-1913 by the architect Max Berg as a multi-purpose recreational building, situated in the Exhibition Grounds. In form it is a symmetrical quatrefoil with a vast circular central space that can seat some 6,000 persons. The 23m-high dome is topped with a lantern in steel and glass. The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interchange of influences in the early 20th century, becoming a key reference in the later development of reinforced concrete structures.;Centennial Hall in Wrocław;Poland;;;;
Cultural;1983;264;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/ced4ac85c29075549ef7d3e0f592837b;pt;Batalha (Leiria);Europe and North America;The Monastery of the Dominicans of Batalha was built to commemorate the victory of the Portuguese over the Castilians at the battle of Aljubarrota in 1385. It was to be the Portuguese monarchy's main building project for the next two centuries. Here a highly original, national Gothic style evolved, profoundly influenced by Manueline art, as demonstrated by its masterpiece, the Royal Cloister.;Monastery of Batalha;Portugal;;;;
Cultural;2019;1573;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/0f31b11afcaa290f295aa5a6f4ab38ea;pt;;Europe and North America;Located 30 km northwest of Lisbon, the property was conceived by King João V in 1711 as a tangible representation of his conception of the monarchy and the State. This imposing quadrangular building houses the king’s and queen's palaces, the royal chapel, shaped like a Roman baroque basilica, a Franciscan monastery and a library containing 36,000 volumes. The complex is completed by the Cerco garden, with its geometric layout, and the royal hunting park (Tapada). The Royal Mafra Building is one of the most remarkable works undertaken by King João V, which illustrates the power and reach of the Portuguese Empire. João V adopted Roman and Italian baroque architectural and artistic models and commissioned works of art that make Mafra an exceptional example of Italian Baroque.;Royal Building of Mafra – Palace, Basilica, Convent, Cerco Garden and Hunting Park (Tapada);Portugal;;;;
Cultural;1999;902;https://data.opendatasoft.com/api/v2/catalog/datasets/world-heritage-list@public-us/files/06d080fd295c91cd4600cb42a05236eb;ro;Mureş County, Region of Transylvania;Europe and North America;Founded by German craftsmen and merchants known as the Saxons of Transylvania, Sighişoara is a fine example of a small, fortified medieval town which played an important strategic and commercial role on the fringes of central Europe for several centuries.;Historic Centre of Sighişoara;Romania;;;;
